year_awarded,date_awarded,notice_type,notice_id,contract_name,project_id,project_name,sector,sector_reclassifcation,project_type,procurement_channel,data_source,record_id,bid_reference_no,contract_url,country,contract_value_usd,contract_currency,winning_firm_name,winning_firm_name_zh,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,joint_venture,firm_registered_locally
2016,2016-12-29,,GYB0949,Power Utility Upgrade Program,GY-L1041,Power Utility Upgrade Program,ENERGY SECTOR REHABILITATION AND EFFICIENCY,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,GUYANA,22343923.0,USD,CMC-CSEEC CONSORTIUM,中国机械工程-中国成套集团联合体,CN,CHINA,1,1,0,
2014,2014-08-11,,HAB1329,Support for Haiti's Transportation Sector III,HA-L1079,Support for Haiti's Transportation Sector III,MAJOR HIGHWAYS,Infrastructure & Energy,Grant Financing Product,International Competitive Bidding,IDB,,,,HAITI,28395815.0,USD,HONGYUAN CONSTRUCTION COM,宏远建设有限公司,CN,CHINA,1,1,0,
2016,2016-11-29,,ECA2766,Support to the transmission program in Ecuador,EC-L1117,Support to the transmission program in Ecuador,ENERGY INTEGRATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,32418068.0,USD,CHINA MACHINERY ENGINEERI,中国机械工程,CN,CHINA,1,1,0,
2016,2016-11-24,,ECA2768,Support to the transmission program in Ecuador,EC-L1117,Support to the transmission program in Ecuador,ENERGY INTEGRATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,33114890.0,USD,XIAN ELECTRIC ENGINEERING,西安电气工程,CN,CHINA,1,0,0,
2017,2017-08-14,,ECA2864,Investment Plan to Support the Transition of the Energy Matrix in Ecuador,EC-L1160,Investment Plan to Support the Transition of the Energy Matrix in Ecuador,ENERGY SECTOR REHABILITATION AND EFFICIENCY,"Industry, Trade & Finance",Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,39662921.0,USD,XIAN ELECTRIC ENGINEERING,西安电气工程,CN,CHINA,1,0,0,
2016,2016-05-09,,ECA2712,Support to the transmission program in Ecuador,EC-L1117,Support to the transmission program in Ecuador,ENERGY INTEGRATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,57225942.0,USD,SINOHYDRO CORPORATION LIM,中国水利水电建设有限公司,CN,CHINA,1,1,0,
2019,2019-11-27,,COB0796,Metro of Bogota First Line - First tranch,CO-L1234,Metro of Bogota First Line - First tranch,PUBLIC TRANSPORT (BUS / TRAIN / CABLE). INFRASTRUCTURE AND EQUIPMENT,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,COLOMBIA,70000000.0,USD,METRO LINEA 1 S.A.S,第一地铁线公司,CN,CHINA,1,1,0,
2016,2016-10-12,,BOB0644,Segment Montero-Yapacaní from the double lane in the road Santa Cruz-Cochabamba,BO-L1075,Segment Montero-Yapacaní from the double lane in the road Santa Cruz-Cochabamba,TRANSPORT NETWORKS CONNECTIVITY,Digital Economy & ICT,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,92463776.0,USD,SINOHYDRO CORPORATION LTD,中国水电股份有限公司,CN,CHINA,1,1,0,
2014,2014-11-17,,TTA1775,Multi-Phase Wastewater Rehabilitation Program- Phase I,TT-L1026,Multi-Phase Wastewater Rehabilitation Program- Phase I,SANITATION RURAL AND PERI-URBAN,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,TRINIDAD AND TOBAGO,97645284.0,USD,SINOHYDRO CORPORATION LTD,中国水电股份有限公司,CN,CHINA,1,1,0,
2014,2014-10-14,,VEB0747,Rehabilitation of Units 1 to 6 of Powerhouse I Simón Bolivar Hydroelectric Plant,VE-L1033,Rehabilitation of Units 1 to 6 of Powerhouse I Simón Bolivar Hydroelectric Plant,NEW HYDROPOWER PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,VENEZUELA,474642084.0,USD,DONGFANG ELECTRIC,东方电气,CN,CHINA,1,0,0,
2025,2025-11-14,,BH-L1061-P00050-C01,The Bahamas Water Supply and Sanitation Systems Upgrade Program,BH-L1061,The Bahamas Water Supply and Sanitation Systems Upgrade Program,WATER AND SANITATION,"Water, Sanitation & Waste",Loan Operation,Shopping/Request for minimum 3 Quotations,IDB,,,,BAHAMAS,412.97,USD,Safety Custom,安全定制,CN,CHINA,1,0,0,
2024,2024-05-08,,SU-L1056-P00042-C01,Foreign Investment and Export Promotion Program,SU-L1056,Foreign Investment and Export Promotion Program,EXPORT AND INVESTMENT PROMOTION,"Industry, Trade & Finance",Loan Operation,Shopping/Request for minimum 3 Quotations,IDB,,,,SURINAME,8997.0,USD,Qianyou Information Technology (Wuhan) Co.,千友信息技术（武汉）有限公司,CN,CHINA,1,0,0,
2020,2020-09-22,,JAB0775,Security Strengthening Project,JA-L1074,Security Strengthening Project,CITIZEN SAFETY,Public Admin & Governance,Loan Operation,Others,IDB,,,,JAMAICA,9800.0,USD,NANJING SPEEDY LASER TECH,南京高速激光科技有限公司,CN,CHINA,1,1,0,
